1,1,0.000195
1,2,0.000183
1,4,0.000140
1,8,0.000144
1,16,0.000148
1,32,0.000169
1,64,0.000176
1,128,0.000179
1,256,0.000269
1,512,0.000359
1,1024,0.000661
1,2048,0.001264
1,4096,0.002405
1,8192,0.004722
1,16384,0.009275
1,32768,0.014440
1,65536,0.032025
1,131072,0.056000
1,262144,0.116656
1,524288,0.233802
1,1048576,0.478315
1,2097152,0.868993
1,4194304,1.676182
1,8388608,3.546467
1,16777216,7.396156
1,33554432,15.095823
1,67108864,30.944945
2,1,0.000150
2,2,0.000356
2,4,0.000377
2,8,0.000358
2,16,0.000441
2,32,0.000422
2,64,0.000387
2,128,0.000453
2,256,0.000443
2,512,0.000390
2,1024,0.000683
2,2048,0.001035
2,4096,0.001880
2,8192,0.003058
2,16384,0.006570
2,32768,0.013318
2,65536,0.021268
2,131072,0.040529
2,262144,0.081803
2,524288,0.156085
2,1048576,0.313248
2,2097152,0.648218
2,4194304,1.343731
2,8388608,2.731863
2,16777216,4.821060
2,33554432,9.182581
2,67108864,19.196807
4,1,0.000128
4,2,0.000255
4,4,0.000603
4,8,0.000201
4,16,0.000336
4,32,0.000305
4,64,0.000535
4,128,0.000540
4,256,0.000386
4,512,0.000620
4,1024,0.000835
4,2048,0.001258
4,4096,0.002262
4,8192,0.002987
4,16384,0.007237
4,32768,0.015435
4,65536,0.027020
4,131072,0.051980
4,262144,0.102350
4,524288,0.226489
4,1048576,0.405248
4,2097152,0.807516
4,4194304,1.670723
4,8388608,3.040862
4,16777216,5.984767
4,33554432,11.104648
4,67108864,23.221066
8,1,0.000090
8,2,0.000147
8,4,0.000262
8,8,0.000867
8,16,0.001394
8,32,0.000617
8,64,0.000624
8,128,0.000423
8,256,0.000757
8,512,0.001001
8,1024,0.001055
8,2048,0.001460
8,4096,0.001767
8,8192,0.005629
8,16384,0.009738
8,32768,0.018408
8,65536,0.037554
8,131072,0.079051
8,262144,0.144374
8,524288,0.300663
8,1048576,0.451103
8,2097152,0.966264
8,4194304,2.315415
8,8388608,3.535376
8,16777216,7.665657
8,33554432,14.757933
8,67108864,26.994187
16,1,0.000148
16,2,0.000378
16,4,0.000510
16,8,0.000480
16,16,0.001444
16,32,0.001312
16,64,0.000858
16,128,0.000846
16,256,0.000884
16,512,0.000593
16,1024,0.001335
16,2048,0.001368
16,4096,0.002570
16,8192,0.005359
16,16384,0.009945
16,32768,0.018775
16,65536,0.038701
16,131072,0.076993
16,262144,0.121733
16,524288,0.309576
16,1048576,0.582454
16,2097152,1.220396
16,4194304,2.221457
16,8388608,4.231847
16,16777216,8.393128
16,33554432,18.042242
16,67108864,34.051128
32,1,0.000167
32,2,0.000276
32,4,0.000650
32,8,0.000554
32,16,0.001282
32,32,0.002143
32,64,0.002688
32,128,0.001067
32,256,0.001797
32,512,0.001716
32,1024,0.002276
32,2048,0.002221
32,4096,0.004720
32,8192,0.006909
32,16384,0.009201
32,32768,0.019443
32,65536,0.038969
32,131072,0.076341
32,262144,0.154122
32,524288,0.301511
32,1048576,0.565714
32,2097152,1.045254
32,4194304,2.156533
32,8388608,4.613578
32,16777216,8.713474
32,33554432,16.820767
32,67108864,36.220242
64,1,0.000136
64,2,0.000245
64,4,0.000448
64,8,0.000958
64,16,0.001163
64,32,0.001297
64,64,0.004500
64,128,0.006405
64,256,0.002819
64,512,0.003194
64,1024,0.003770
64,2048,0.005468
64,4096,0.004804
64,8192,0.008462
64,16384,0.010893
64,32768,0.021490
64,65536,0.038115
64,131072,0.076511
64,262144,0.148768
64,524288,0.313641
64,1048576,0.538498
64,2097152,1.115389
64,4194304,2.195726
64,8388608,4.441748
64,16777216,9.006524
64,33554432,17.850422
64,67108864,36.251867
