Threads,Size,Time [s]
16,16777216,5.014730
16,33554432,6.786140
16,67108864,13.082095
32,1,0.000165
32,2,0.000338
32,4,0.000339
32,8,0.000511
32,16,0.000960
32,32,0.001643
32,64,0.001351
32,128,0.002728
32,256,0.001162
32,512,0.001659
32,1024,0.001400
32,2048,0.002011
32,4096,0.002198
32,8192,0.003457
32,16384,0.007007
32,32768,0.010203
32,65536,0.022959
32,131072,0.037802
32,262144,0.077516
32,524288,0.155484
32,1048576,0.325054
32,2097152,0.645867
32,4194304,1.436591
32,8388608,2.204010
32,16777216,3.873537
32,33554432,7.375113
32,67108864,20.185994
64,1,0.000179
64,2,0.000214
64,4,0.000364
64,8,0.000492
64,16,0.000912
64,32,0.002589
64,64,0.002661
64,128,0.003193
64,256,0.002107
64,512,0.005549
64,1024,0.004298
64,2048,0.007087
64,4096,0.005096
64,8192,0.005095
64,16384,0.008559
64,32768,0.013301
64,65536,0.022291
64,131072,0.034600
64,262144,0.064888
64,524288,0.150054
64,1048576,0.262947
64,2097152,0.574032
64,4194304,1.107224
64,8388608,1.908515
64,16777216,5.488914
64,33554432,7.363209
64,67108864,23.504415
