Size,Time [s]
1,0.000000
2,0.000000
4,0.000001
8,0.000001
16,0.000002
32,0.000005
64,0.000012
128,0.000026
256,0.000057
512,0.000140
1024,0.000303
2048,0.000611
4096,0.001374
8192,0.002906
16384,0.005533
32768,0.008488
65536,0.018192
131072,0.039451
262144,0.088762
524288,0.172076
1048576,0.300085
2097152,0.615910
4194304,1.261769
8388608,2.669966
16777216,5.639548
33554432,11.852571
67108864,24.034885
